Month,"Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore (Number of Rigs)","Crude Oil and Natural Gas Rotary Rigs in Operation, Offshore (Number of Rigs)","Crude Oil Rotary Rigs in Operation, Total (Number of Rigs)","Natural Gas Rotary Rigs in Operation, Total (Number of Rigs)","Crude Oil and Natural Gas Rotary Rigs in Operation, Horizontal Trajectory (Number of Rigs)","Crude Oil and Natural Gas Rotary Rigs in Operation, Directional Trajectory (Number of Rigs)","Crude Oil and Natural Gas Rotary Rigs in Operation, Vertical Trajectory (Number of Rigs)","Crude Oil and Natural Gas Rotary Rigs in Operation, Total (Number of Rigs)",Active Well Service Rig Count (Number of Rigs)
1973 January,1120,99,Not Available,Not Available,Not Available,Not Available,Not Available,1219,1549
1973 February,1037,89,Not Available,Not Available,Not Available,Not Available,Not Available,1126,1677
1973 March,959,90,Not Available,Not Available,Not Available,Not Available,Not Available,1049,1805
1973 April,914,79,Not Available,Not Available,Not Available,Not Available,Not Available,993,1898
1973 May,974,72,Not Available,Not Available,Not Available,Not Available,Not Available,1046,1991
1973 June,1042,76,Not Available,Not Available,Not Available,Not Available,Not Available,1118,1994
1973 July,1075,81,Not Available,Not Available,Not Available,Not Available,Not Available,1156,1997
1973 August,1140,82,Not Available,Not Available,Not Available,Not Available,Not Available,1222,2112
1973 September,1183,83,Not Available,Not Available,Not Available,Not Available,Not Available,1266,2227
1973 October,1250,84,Not Available,Not Available,Not Available,Not Available,Not Available,1334,2247
1973 November,1304,86,Not Available,Not Available,Not Available,Not Available,Not Available,1390,2266
1973 December,1318,87,Not Available,Not Available,Not Available,Not Available,Not Available,1405,2334
1974 January,1283,89,Not Available,Not Available,Not Available,Not Available,Not Available,1372,2401
1974 February,1264,91,Not Available,Not Available,Not Available,Not Available,Not Available,1355,2436
1974 March,1272,95,Not Available,Not Available,Not Available,Not Available,Not Available,1367,2470
1974 April,1280,101,Not Available,Not Available,Not Available,Not Available,Not Available,1381,2513
1974 May,1319,94,Not Available,Not Available,Not Available,Not Available,Not Available,1413,2555
1974 June,1342,90,Not Available,Not Available,Not Available,Not Available,Not Available,1432,2525
1974 July,1387,93,Not Available,Not Available,Not Available,Not Available,Not Available,1480,2494
1974 August,1426,92,Not Available,Not Available,Not Available,Not Available,Not Available,1518,2483
